formation_wave_block_id,missing_office_number_candidate,gap_confidence,likely_2025_2026_wave,wave_detection_method,companies_house_search_link,lookup_priority
nan_nan_nan_nan,941,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20941%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,25.0
nan_nan_nan_nan,942,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20942%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,24.0
nan_nan_nan_nan,943,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20943%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,23.0
nan_nan_nan_nan,944,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20944%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,22.0
nan_nan_nan_nan,945,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20945%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,21.0
nan_nan_nan_nan,946,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20946%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,20.0
nan_nan_nan_nan,947,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20947%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,19.0
nan_nan_nan_nan,948,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20948%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,18.0
nan_nan_nan_nan,949,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20949%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,17.0
nan_nan_nan_nan,950,medium,True,office_number_high_range_sequence_inference,https://find-and-update.company-information.service.gov.uk/search?q=Office%20950%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,16.0
