Office No.,Company Name,Company Number,SIC Code,Registered Address,Status,Incorporated,Companies House Search Link,Lookup Priority,Wave Candidate Flag,Wave Detection Method,Confirmation Status,Research Notes
924,,,,"Office 924, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20924%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,42.0,True,office_number_high_range_sequence_inference,pending,
925,,,,"Office 925, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20925%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,41.0,True,office_number_high_range_sequence_inference,pending,
926,,,,"Office 926, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20926%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,40.0,True,office_number_high_range_sequence_inference,pending,
927,,,,"Office 927, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20927%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,39.0,True,office_number_high_range_sequence_inference,pending,
928,,,,"Office 928, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20928%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,38.0,True,office_number_high_range_sequence_inference,pending,
929,,,,"Office 929, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20929%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,37.0,True,office_number_high_range_sequence_inference,pending,
930,,,,"Office 930, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20930%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,36.0,True,office_number_high_range_sequence_inference,pending,
931,,,,"Office 931, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20931%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,35.0,True,office_number_high_range_sequence_inference,pending,
932,,,,"Office 932, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20932%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,34.0,True,office_number_high_range_sequence_inference,pending,
933,,,,"Office 933, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20933%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,33.0,True,office_number_high_range_sequence_inference,pending,
